zone_id,latitude,longitude,fetched_at,data_source,rainfall_30min,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3day,rainfall_7day
Z_23.0_92.5,23.0,92.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.6,0.6,0.6,1.5,7.9,7.9,32.3,81.2
Z_23.0_93.5,23.0,93.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.1,0.9,2.3,11.3,60.7
Z_23.0_94.0,23.0,94.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.8,1.1,2.2,2.7,4.2,12.4,44.7,50.8
Z_23.0_94.5,23.0,94.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),1.7,1.7,1.8,2.7,5.5,17.7,66.4,97.7
Z_23.0_95.0,23.0,95.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.9,2.4,2.4,6.8,8.2,13.3,52.6,72.9
Z_23.0_96.0,23.0,96.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,1.8,3.6,9.2,34.4,48.1
Z_23.0_95.5,23.0,95.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.3,2.9,3.1,6.5,7.5,11.2,34.5,52.9
Z_23.0_96.5,23.0,96.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.3,0.3,0.3,0.8,2.2,7.3,38.3,91.3
Z_23.0_93.0,23.0,93.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.7,6.4,6.9,36.2,76.3
Z_23.0_97.5,23.0,97.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),1.3,4.5,4.5,4.5,5.1,9.8,56.8,76.7
