zone_id,latitude,longitude,soil_moisture_0_7cm,soil_moisture_7_28cm,fetched_at,data_source
Z_23.0_95.5,23.0,95.5,0.512,0.509,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_96.5,23.0,96.5,0.483,0.493,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_93.0,23.0,93.0,0.416,0.419,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_97.5,23.0,97.5,0.515,0.498,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_97.0,23.0,97.0,0.497,0.498,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_88.0,23.5,88.0,0.408,0.402,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_88.5,23.5,88.5,0.412,0.413,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_89.5,23.5,89.5,0.404,0.398,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_90.0,23.5,90.0,0.415,0.422,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_89.0,23.5,89.0,0.411,0.415,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_90.5,23.5,90.5,0.419,0.424,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_92.0,23.5,92.0,0.429,0.428,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_93.0,23.5,93.0,0.388,0.395,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_93.5,23.5,93.5,0.376,0.386,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_91.0,23.5,91.0,0.43,0.402,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_92.5,23.5,92.5,0.426,0.424,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_91.5,23.5,91.5,0.516,0.509,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
